username;name;email;password;roleId
vZoltan;Varga Zoltán;vargazoltan@gmail.com;VargaZoltan2025;3
kJozsef;Kiss József;kissjozsef@gmail.com;KissJozsef2025;3
nLili;Nagy Lili;nagylili@gmail.com;NagyLili2025;3
bTamás;Borbély Tamás;borbelytamas@gmail.com;BorbelTamas2025;3
sAdam;Somogyi Ádám;somogyiadam@gmail.com;SomogyiAdam2025;3
vJozsef;Vass József;vassjozsef@gmail.com;VassJozsef2025;3
jBence;Jakab Bence;jakabbence@gmail.com;JakabBence2025;3
fCsaba;Farkas Csaba;farkascsaba@gmail.com;FarkasCsaba2025;3
tMark;Tóth Márk;tothmark@gmail.com;TothMark2025;3
mKrisztian;Mészáros Krisztián;meszaroskrisztian@gmail.com;MeszarosKrisztian2025;3
pVilmos;Pál Vilmos;palvilmos@gmail.com;PalVilmos2025;3
kGabor;Kiss Gábor;kissgabor@gmail.com;KissGabor2025;3
kHanna;Kovács Hanna;kovacshanna@gmail.com;KovacsHanna2025;3
mJanos;Molnár János;molnarjanos@gmail.com;MolnarJanos2025;3
hLaszlo;Horváth László;horvathlaszlo@gmail.com;HorvathLaszlo2025;3
nRobert;Németh Róbert;nemethrobert@gmail.com;NemethRobert2025;3
tMartin;Takács Martin;takacsmartin@gmail.com;TakacsMartin2025;3
tTamas;Tóth Tamás;tothtamas@gmail.com;TothTamas2025;3
tZsofia;Török Zsófia;torokzsofia@gmail.com;TorokZsofia2025;3
nRozsa;Nagy Rózsa;nagyrozsa@gmail.com;NagyRozsa2025;3
fMonika;Fazekas Mónika;fazekasmonika@gmail.com;FazekasMonika2025;3
vCsilla;Veres Csilla;verescsilla@gmail.com;VeresCsilla2025;3
kJudit;Kovács Judit;kovacsjudit@gmail.com;KovacsJudit2025;3
oIldiko;Oláh Ildikó;olahildiko@gmail.com;OlahIldiko2025;3
mKlara;Molnár Klára;molnarklara@gmail.com;MolnarKlara2025;3
mMaria;Mészáros Mária;meszarosmaria@gmail.com;MeszarosMaria2025;3
tMaria;Tóth Mária;tothmaria@gmail.com;TothMaria2025;3
lIlona;Lengyel Ilona;lengyelilona@gmail.com;LengyelIlona2025;3
bGyozo;Balogh Győző;baloghgyozo@gmail.com;BaloghGyoz2025;3
sIldiko;Szabó Ildikó;szaboildiko@gmail.com;SzaboIldiko2025;3
hKatalin;Horváth Katalin;horvathkatalin@gmail.com;HorvathKatalin2025;3
sErika;Szabó Erika;szaboerika@gmail.com;SzaboErika2025;3
vAnna;Varga Anna;vargaanna@gmail.com;VargaAnna2025;3
kRobert;Király Róbert;kiralyrobert@gmail.com;KiralyRobert2025;3
nMaria;Nagy Mária;nagymaria@gmail.com;NagyMaria2025;3
lFanni;Lengyel Fanni;lengyelfanni@gmail.com;LengyelFanni2025;3
